Course ID,Subject,Catalog,Long Title,Class Units,Component Code,Component Descr,Pre Requisite Description,Career,Equivalent Courses,Description,Website
000060,ACCO,400,Accounting Theory,3.00,LEC,Lecture,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO461",UGRD,ACCO 400 = ACCO 461,"Research-based group project, written report, and recorded presentation",
000086,ACCO,420,Financial Reporting III,3.00,LEC,Lecture,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken ACCO335; ACCO480",UGRD,ACCO 335 = ACCO 420,All consolidation and foreign currency translation done using Excel worksheets as would be done in reality; case analysis done for all topics.,
000089,ACCO,425,FINANCIAL REPORTING IV,3.00,LEC,Lecture,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO410",UGRD,,Prepare financial statements for a fictitious company,
000092,ACCO,430,Advanced Management Accounting,3.00,LEC,Lecture,"Course Prerequisite: One of (ACCO303, ACCO330) Never Taken ACCO422; ACCO435",UGRD,ACCO 422 = ACCO 430,Check academic program site,
000097,ACCO,435,STRAT ACCTNG CASE ANALYSIS,3.00,LEC,Lecture,"   Course Prerequisite: ACCO320, ACCO330; Course Corequisite: COMM401",UGRD,ACCO 435 = ACCO 470A,Comprehensive multi-subject strategic cases analysis (individual and group levels),
000098,ACCO,440,Advanced Taxation,3.00,LEC,Lecture,"Course Prerequisite: One of (ACCO340, ACCO441) Never Taken ACCO442;  ACCO490",UGRD,ACCO 440 = ACCO 442,Check academic program site,
000104,ACCO,450,Assurance Services,3.00,LEC,Lecture,"Course Corequisite: One of (ACCO320, ACCO326) Never Taken ACCO429, ACCO432; ACCO465, ACCO470D",UGRD,ACCO 432/ACCO 450/ACCO 360,Check academic program site,
000106,ACCO,455,Fraud Prevention and Investigation,3.00,LEC,Lecture,"Course Prerequisite: COMM315 Course Prerequisite: One of (COMM217, ACCO230)",UGRD,ACCO 455 = ACCO 470F,"Realâlife fraud case analyses, discussions and presentations",
000109,ACCO,465,Advanced Assurance Services,3.00,LEC,Lecture,Course Prerequisite: One of (ACCO 360 or 450) and ACCO 320; Never Taken  ACCO470,UGRD,ACCO 465 = ACCO 470D,"This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors.",
000173,ACCO,631,BUSINESS ADVISORY SERVICES,4.00,LEC,Lecture,,GRAD,,Check academic program site,
000174,ACCO,635,INTEGRATED APPROACH TO AUDIT,4.00,LEC,Lecture,"   Course Prerequisite: ACCO678, ACCO643; Course Corequisite: ACCO613",GRAD,,Check academic program site,
000178,ACCO,651,FINANCIAL REPORTING:COMP APP,4.00,LEC,Lecture,,GRAD,,Case Analysis,Â 
000182,ACCO,672,MANAGEMENT ACCOUNTING II,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000185,ACCO,681,FINAN L ACCO G/REPORT G III,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000186,ACCO,682,COMPREHENSIVE CASE ANALYSIS,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000187,ACCO,685,CASE ANALY/INTEG/EXAM PREP,6.00,LEC,Lecture,"You must complete 1 of the following rules  You must complete ALL of the following rules  Course Prerequisite: ACCO613, ACCO631, ACCO635",GRAD,,Check academic program site,
000189,ACCO,690B,ADV EXAM WRITING TECHNIQUES,1.00,LEC,Lecture,,GRAD,,Check academic program site,
000190,ACCO,691,BUSINESS VALUATIONS,3.00,LEC,Lecture,Prerequisite:MBA 642,GRAD,,Check academic program site,
000191,ACCO,695,SEMINAR IN SPECIAL TOPICS,3.00,LEC,Lecture,Prerequisite: MBA 607 or MBA 642,GRAD,,Check academic program site,
040004,ACCO,631T,TUT/BSNSS ADVISORY SERVICES,4.00,LEC,Lecture,,GRAD,,Check academic program site,
040005,ACCO,635T,TUT/INTEGRATED APPRO/AUDIT G,4.00,LEC,Lecture,,GRAD,,Check academic program site,
043001,ACCO,650,FINA REPORTING IN PRACTICE,4.00,LEC,Lecture,Students who have taken ACCO 612 and ACCO 643 may not take this course for credit,GRAD,,Case Analysis,Â 
044001,ACCO,643X,SP TUTORIAL-INCOME TAXATION,1.00,TUT,Tutorial,,GRAD,,Check academic program site,
044002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,4.00,LEC,Lecture,,GRAD,ACCO 600 = ACCO 650T,Check academic program site,
044002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,4.00,LEC,Lecture,,GRAD,,Check academic program site,
044003,ACCO,651T,TUTORIAL IN FINA REP/COM APP,4.00,LEC,Lecture,,GRAD,,Check academic program site,
044004,ACCO,653,INFO SYS/INTERNAL CONTROL,4.00,LEC,Lecture,"   Course Prerequisite: ACCO650, ACCO651",GRAD,,Case Analysis,Â 
045085,ACCO,652,BUSINESS ADVISORY SERVICES,4.00,LEC,Lecture,"Course Prerequisite: ACCO650, AntiReq ACCO631",GRAD,,Case Analysis and Fictitious BOD Group Presentation,Â 
045114,ACCO,470,SPECIAL TOPICS IN ACCOUNTING,3.00,LEC,Lecture,,UGRD,,Check academic program site,
045884,ACCO,652T,TUTORIAL IN BUSINESS ADV SER,4.00,LEC,Lecture,,GRAD,,Check academic program site,
045885,ACCO,653T,TUTORIAL IN INF SYS/INT.CONT,4.00,LEC,Lecture,,GRAD,,Check academic program site,
046442,ACCO,471,ACCOUNTING SEMINAR,3.00,LEC,Lecture,,UGRD,,Check academic program site,
046443,ACCO,590,SPECIAL SEMINAR/ACCOUNTING,1.00,LEC,Lecture,,GRAD,,Check academic program site,
046444,ACCO,595,SPECIAL TOPICS IN ACCO,3.00,LEC,Lecture,,GRAD,,Check academic program site,
047353,ACCO,655,Taxation and Decision-Making,4.00,LEC,Lecture,PRE-REQ ACCO 650 and ACCO 651. Anti-Req ACCO 643,GRAD,,Case Analysis,Â 
047354,ACCO,655T,Tutorial in Taxation/Decision making,4.00,LEC,Lecture,,GRAD,,Check academic program site,
047360,ACCO,658,Capstone I Seminar,2.00,LEC,Lecture,"Prerequisite: ACCO 650, 651, 652, 653 and two elective courses",GRAD,,"Group Case Analysis, Written Report, and Fictitious BOD Group Presentation",Â 
047361,ACCO,658T,Tutorial in Capstone I Seminar,2.00,LEC,Lecture,,GRAD,,Check academic program site,
047363,ACCO,659,Capstone II Examination Preparation,4.00,LEC,Lecture,Co-requisite: ACCO 658 or ACCO 658T or ACCO 608,GRAD,,Case Analysis,Â 
047364,ACCO,659T,Tutorial in Capstone II Examination,4.00,LEC,Lecture,,GRAD,,Check academic program site,
047367,ACCO,654,Assurance and Professional Practice,4.00,LEC,Lecture,"COURSE PRE-REQ ACCO 650, ACCO 651, ACCO 653. Anti-Req ACCO 635",GRAD,,Case Analysis,Â 
047368,ACCO,654T,Tutorial in Assurance and Professional Practice,4.00,LEC,Lecture,,GRAD,,Check academic program site,
047369,ACCO,656,Performance Management,4.00,LEC,Lecture,COURSE PREREQ ACCO 652 and ACCO 653,GRAD,,Case Analysis and Fictitious BOD Group Presentation,Â 
047370,ACCO,656T,Tutorial in Performance Management,4.00,LEC,Lecture,,GRAD,,Check academic program site,
047371,ACCO,657,Financial Strategies and Decisions,4.00,LEC,Lecture,COURSE PREREQ ACCO 652 and ACCO 651,GRAD,,Case Analysis,Â 
047372,ACCO,657T,Tutorial in Financial Strategies and Decisions,4.00,LEC,Lecture,,GRAD,,Check academic program site,
048073,ACCO,692,Managing After-Tax Returns,3.00,LEC,Lecture,ANTI-REQ for ACCO 692,GRAD,,Check academic program site,
048544,ACCO,360,Principles of Auditing,3.00,LEC,Lecture,Course Prerequisite:  COMM 305. Never Taken ACCO 465,UGRD,ACCO 432/ACCO 450/ACCO 360,Check academic program site,
048619,ACCO,495,HONOURS SEMINAR IN ACCOUNTANCY,6.00,LEC,Lecture,Course Prerequisite: ACCO 400 and Enrolment in the honours program,UGRD,,Writing a teaching case and solution or conducting an applied research project,
048720,ACCO,600,TUTORIAL IN FINA REP/PRACTICE,4.00,LEC,Lecture,Anti-Req ACCO 600,GRAD,ACCO 600 = ACCO 650T,Check academic program site,
048720,ACCO,600,TUTORIAL IN FINA REP/PRACTICE,4.00,LEC,Lecture,Anti-Req ACCO 600,GRAD,,Check academic program site,
048817,ACCO,601,TUTORIAL IN FINA REP/COM APP,4.00,LEC,Lecture,Anti-Req ACCO601,GRAD,ACCO 601 = ACCO 651T,Check academic program site,
048824,ACCO,602,TUTORIAL IN BUSINESS ADV SER,4.00,LEC,Lecture,Not ACCO652T,GRAD,ACCO 602 = ACCO 652T,Check academic program site,
048824,ACCO,602,TUTORIAL IN BUSINESS ADV SER,4.00,LEC,Lecture,Not ACCO652T,GRAD,,Check academic program site,
048825,ACCO,603,TUTORIAL IN INF SYS/INT.CONT,4.00,LEC,Lecture,Not ACCO653T,GRAD,ACCO 603 = ACCO 653T,Check academic program site,
048826,ACCO,604,Tutorial in Assurance and Professional Practice,4.00,LEC,Lecture,Not ACCO654T,GRAD,ACCO 604 = ACCO 654T,Check academic program site,
048827,ACCO,605,Tutorial in Taxation/Decision making,4.00,LEC,Lecture,Not ACCO655T,GRAD,ACCO 605 = ACCO 655T,Check academic program site,
048828,ACCO,606,Tutorial in Performance Management,4.00,LEC,Lecture,Not ACCO 656T,GRAD,ACCO 606 = ACCO 656T,Check academic program site,
048829,ACCO,607,Tutorial in Financial Strategies and Decisions,4.00,LEC,Lecture,Not ACCO657T,GRAD,ACCO 607 = ACCO 657T,Check academic program site,
048830,ACCO,608,Tutorial in Capstone I Seminar,2.00,LEC,Lecture,Not ACCO658T,GRAD,ACCO 608 = ACCO 658T,Check academic program site,
048831,ACCO,609,Tutorial in Capstone II Examination,4.00,LEC,Lecture,Not ACCO659T,GRAD,ACCO 609 = ACCO 659T,Check academic program site,
047731,ACTT,231,Ensemble I,3.00,LAB,Laboratory,,UGRD,TPER 298 = ACTT 231,Preparation for theatrical presentation with emphasis on the coâoperative nature of theatre,
047731,ACTT,231,Ensemble I,3.00,STU,Studio,,UGRD,TPER 298 = ACTT 231,Preparation for theatrical presentation with emphasis on the coâoperative nature of theatre,
047732,ACTT,332,Improvisation,3.00,STU,Studio,Prerequisite ACTT 332,UGRD,,Introduction to improvisation as a method of creation for the stage,
047733,ACTT,432,Rasaboxes,3.00,STU,Studio,Prerequisite ACTT 432,UGRD,TPER 398F = ACTT 432,Course provides an intensive introduction to the performance of emotion,
047734,ACTT,436,One-Act Project A,3.00,LAB,Laboratory,,UGRD,,Public production of a one-act text from the worldwide body of dramatic literature,
047734,ACTT,436,One-Act Project A,3.00,STU,Studio,,UGRD,,Public production of a one-act text from the worldwide body of dramatic literature,
047735,ACTT,440,Supervised Acting Performance Project,3.00,LAB,Laboratory,,UGRD,,Work in selfâselected teams to develop short projects,
047735,ACTT,440,Supervised Acting Performance Project,3.00,STU,Studio,,UGRD,,Work in selfâselected teams to develop short projects,
047738,ACTT,450,Advanced Acting Studio,3.00,LAB,Laboratory,"Prerequisite: ACTT 321, 325",UGRD,,Provides advanced students with the opportunity to apply their skills to text study and character development,
047738,ACTT,450,Advanced Acting Studio,3.00,STU,Studio,"Prerequisite: ACTT 321, 325",UGRD,,Provides advanced students with the opportunity to apply their skills to text study and character development,
047739,ACTT,462,Classical Text Project C,3.00,STU,Studio,,UGRD,,Check academic program site,
047740,ACTT,480,Designing an Acting Workshop,3.00,STU,Studio,,UGRD,TDEV 498 = ACTT 480,"Opportunity to design a course framework under the guidance of the instructor that includes curriculum, implementation, and assessment for students",
047741,ACTT,481,Conducting an Acting Workshop,3.00,LAB,Laboratory,,UGRD,TDEV 498 = ACTT 481,"Conducting an acting workshop: active observation, instructional strategies to deliver the curriculum, and assessment",
047741,ACTT,481,Conducting an Acting Workshop,3.00,STU,Studio,,UGRD,TDEV 498 = ACTT 481,"Conducting an acting workshop: active observation, instructional strategies to deliver the curriculum, and assessment",
047760,ACTT,460,Classical Text Project A,3.00,LAB,Laboratory,,UGRD,PROD 411 = ACTT 460,Production of an iconic text from the worldwide body of dramatic literature,
047760,ACTT,460,Classical Text Project A,3.00,STU,Studio,,UGRD,PROD 411 = ACTT 460,Production of an iconic text from the worldwide body of dramatic literature,
047761,ACTT,465,Final Acting Project,3.00,LAB,Laboratory,for students who have completed 48 credits.,UGRD,PROD 412 = ACTT 465,"Development of audition technique, on camera technique, interview skills, and other career-oriented skills",
047761,ACTT,465,Final Acting Project,3.00,STU,Studio,for students who have completed 48 credits.,UGRD,PROD 412 = ACTT 465,"Development of audition technique, on camera technique, interview skills, and other career-oriented skills",
047848,ACTT,201,Introduction to Acting I,3.00,LAB,Laboratory,anti req for ACTT 201,UGRD,TPER 201 = ACTT 201,,
047848,ACTT,201,Introduction to Acting I,3.00,STU,Studio,anti req for ACTT 201,UGRD,TPER 201 = ACTT 201,,
047849,ACTT,202,Introduction to Acting II,3.00,LAB,Laboratory,prereq for ACTT 202,UGRD,TPER 202 = ACTT 202,,
047849,ACTT,202,Introduction to Acting II,3.00,STU,Studio,prereq for ACTT 202,UGRD,TPER 202 = ACTT 202,,
047850,ACTT,209,The Engaged Theatre Artist,3.00,LAB,Laboratory,,UGRD,TPER 209 = ACTT 209,Check academic program site,
047850,ACTT,209,The Engaged Theatre Artist,3.00,STU,Studio,,UGRD,TPER 209 = ACTT 209,Check academic program site,
047851,ACTT,210,Scene Study I,3.00,LAB,Laboratory,pre req for ACTT 210,UGRD,TPER 210 = ACTT 210,Check academic program site,
047851,ACTT,210,Scene Study I,3.00,STU,Studio,pre req for ACTT 210,UGRD,TPER 210 = ACTT 210,Check academic program site,
047852,ACTT,211,Voice and Movement for the Stage I,3.00,LAB,Laboratory,,UGRD,TPER 231 = ACTT 211,Check academic program site,
047852,ACTT,211,Voice and Movement for the Stage I,3.00,STU,Studio,,UGRD,TPER 231 = ACTT 211,Check academic program site,
047854,ACTT,298,Special Topics in Acting,3.00,STU,Studio,,UGRD,,Check academic program site,
047855,ACTT,299,Special Topics in Acting,6.00,STU,Studio,,UGRD,,Check academic program site,
047856,ACTT,331,Scene Study II,3.00,STU,Studio,Prerequisite ACTT 331,UGRD,TPER 311 = ACTT 331,Check academic program site,
047857,ACTT,360,Ensemble II,3.00,LAB,Laboratory,Prerequisite for ACTT 360,UGRD,TPER 325 = ACTT 360,Course focuses on skill development and performance of a particular theatrical genre,
047857,ACTT,360,Ensemble II,3.00,STU,Studio,Prerequisite for ACTT 360,UGRD,TPER 325 = ACTT 360,Course focuses on skill development and performance of a particular theatrical genre,
047858,ACTT,321,Movement for the Stage II,3.00,STU,Studio,prereq for ACTT 321,UGRD,TPER 331 = ACTT 321,Various movement-based ensemble performance techniques and methods,
047859,ACTT,435,Creation Project C,3.00,LAB,Laboratory,,UGRD,TPER 333= ACTT 435,Course offers supervised application of theatrical skills,
047859,ACTT,435,Creation Project C,3.00,STU,Studio,,UGRD,TPER 333= ACTT 435,Course offers supervised application of theatrical skills,
047860,ACTT,325,Voice for the Stage II,3.00,STU,Studio,Prerequisite for ACTT 325,UGRD,TPER 345 = ACTT 325,"Course emphasizes embodiment, selfâawareness",
047861,ACTT,355,Voice for the Stage III,3.00,STU,Studio,Prerequisite ACTT 355,UGRD,TPER 355 = ACTT 355,Thorough introduction to a particular voiceâbased performance technique,
047862,ACTT,398,Special Topics in Acting,3.00,LAB,Laboratory,,UGRD,,Provides opportunities for studies in selected styles or modes of theatre performance,
047862,ACTT,398,Special Topics in Acting,3.00,STU,Studio,,UGRD,,Provides opportunities for studies in selected styles or modes of theatre performance,
047863,ACTT,399,Special Topics in Acting,6.00,STU,Studio,,UGRD,,Provides opportunities for studies in selected styles or modes of theatre performance,
047864,ACTT,358,Movement for the Stage III,3.00,LAB,Laboratory,Prerequisite: ACTT 321,UGRD,TPER 431 = ACTT 358,Course deepens student learning in a particular movement-based performance technique,
047864,ACTT,358,Movement for the Stage III,3.00,STU,Studio,Prerequisite: ACTT 321,UGRD,TPER 431 = ACTT 358,Course deepens student learning in a particular movement-based performance technique,
047865,ACTT,498,Special Topics in Acting,3.00,LAB,Laboratory,,UGRD,,Provides opportunities for studies in selected styles or modes of theatre performance,
047865,ACTT,498,Special Topics in Acting,3.00,STU,Studio,,UGRD,,Provides opportunities for studies in selected styles or modes of theatre performance,
047866,ACTT,499,Special Topics in Acting,6.00,STU,Studio,,GRAD,,Provides opportunities for studies in selected styles or modes of theatre performance,
048916,ACTT,370,Clown for the Actor,3.00,STU,Studio,PREREQUISITE: ACTT 321 and 325 or Permission from the Department,UGRD,,Course focuses on the development of clown characters and situations,
048917,ACTT,372,Stage Combat,3.00,STU,Studio,for students enrolled in the Specialization in Acting for the Theatre and who have completed ACTT 321.,UGRD,,Course focuses on the development of unarmed and armed stage combatÂ ,
048918,ACTT,433,Creation Project A,3.00,LAB,Laboratory,,UGRD,,Check academic program site,
048918,ACTT,433,Creation Project A,3.00,STU,Studio,,UGRD,,Check academic program site,
048919,ACTT,434,Creation Project B,3.00,LAB,Laboratory,,UGRD,,Check academic program site,
048919,ACTT,434,Creation Project B,3.00,STU,Studio,,UGRD,,Check academic program site,
048920,ACTT,437,One-Act Project B,3.00,LAB,Laboratory,,UGRD,,Check academic program site,
048920,ACTT,437,One-Act Project B,3.00,STU,Studio,,UGRD,,Check academic program site,
048921,ACTT,438,One-Act Project C,3.00,LAB,Laboratory,,UGRD,,Check academic program site,
048921,ACTT,438,One-Act Project C,3.00,STU,Studio,,UGRD,,Check academic program site,
048922,ACTT,455,Voice for the Stage IV,3.00,LAB,Laboratory,for students enrolled in the Specialization in Acting for the Theatre and who have completed ACTT 355 or permission of the Department of Theatre,UGRD,,"Advanced exploration of a particular voiceâbased performance technique, method, or approach",
048922,ACTT,455,Voice for the Stage IV,3.00,STU,Studio,for students enrolled in the Specialization in Acting for the Theatre and who have completed ACTT 355 or permission of the Department of Theatre,UGRD,,"Advanced exploration of a particular voiceâbased performance technique, method, or approach",
048923,ACTT,458,Movement for the Stage IV,3.00,STU,Studio,Course Prerequisite: ACTT 321,UGRD,ACTT 458 = TPER 431,"Exploration of a particular movementâbased performance technique, method, or approach",
048924,ACTT,461,Classical Text Project B,3.00,STU,Studio,,UGRD,,Check academic program site,
000235,ACTU,256,Mathematics of Finance,3.00,LEC,Lecture,"Prerequisite: MATH264 previously or concurrently, and permission of the Department.",UGRD,MAST335 = MATH326 = ACTU256,Check academic program site,
000236,ACTU,257,Actuarial Mathematics I,3.00,LEC,Lecture,Prerequisite: ACTU256.,UGRD,ACTU 257 = MATH 327,Check academic program site,
000237,ACTU,286,Actuarial Mathematics Lab I,1.00,LEC,Lecture,,UGRD,ACTU 286 = MATH 229,Lab,
000237,ACTU,286,Actuarial Mathematics Lab I,1.00,REA,Reading,,UGRD,ACTU 286 = MATH 229,Lab,
000238,ACTU,357,Actuarial Mathematics II,3.00,LEC,Lecture,Prerequisite: ACTU257.,UGRD,ACTU 357 = MATH 427,Check academic program site,
000239,ACTU,386,Actuarial Mathematics Lab II,2.00,LEC,Lecture,,UGRD,ACTU386 = MATH232,Lab,
000239,ACTU,386,Actuarial Mathematics Lab II,2.00,LEC,Lecture,,UGRD,,Lab,
000241,ACTU,457,Risk Theory,3.00,LEC,Lecture,Prerequisite: ACTU257.,UGRD,ACTU 457 = MATH 428,Check academic program site,
000242,ACTU,458,Credibility Theory,3.00,LEC,Lecture,ACTU457; STAT349 previously or concurrently.,UGRD,,Check academic program site,
000243,ACTU,459,Loss Distributions,3.00,LEC,Lecture,Prerequisite: ACTU457 and STAT360,UGRD,,Check academic program site,
000244,ACTU,486,Actuarial Mathematics Lab III,2.00,LEC,Lecture,,UGRD,ACTU 486 = MATH 429,"Lab, workshop",
000245,ACTU,493,Honours Project in Actuarial Mathematics,6.00,LEC,Lecture,,UGRD,,Check academic program site,
046445,ACTU,491,TOPICS/ACTUARIAL MATHEMATICS,3.00,LEC,Lecture,,UGRD,,Check academic program site,
046446,ACTU,492,RDG CRS/ACTUARIAL MATHEMAT S,3.00,LEC,Lecture,,UGRD,,Check academic program site,
000246,ADED,201,Concepts and Principles of Adult Education,3.00,LEC,Lecture,Student must not have taken the following course: ADED496,UGRD,,Check academic program site,
000247,ADED,202,The Scope and Nature of Adult Education Programs,3.00,LEC,Lecture,Student must not have taken the following course: ADED496,UGRD,,Check academic program site,
000248,ADED,220,Adults as Learners,3.00,LEC,Lecture,,UGRD,,Check academic program site,
000253,ADED,344,Design of Adult Learning Projects,3.00,LEC,Lecture,,UGRD,,Design & conduct a learning activity in the area of subject matter specialty,
000254,ADED,345,Evaluating Adult Learning Projects,3.00,LEC,Lecture,,UGRD,,Conduct an evaluation of an adult learning project in the area of subject matter specialty,
000257,ADED,403,Diversity in Adults,3.00,LEC,Lecture,,UGRD,ADED403 = ADED498F,Check academic program site,
000257,ADED,403,Diversity in Adults,3.00,LEC,Lecture,,UGRD,,Check academic program site,
000260,ADED,440,ISSUES IN THE PRACTICE,3.00,LEC,Lecture,,UGRD,,Check academic program site,
000273,ADED,496,Integrative Internship I,3.00,LEC,Lecture,"Prerequisite: ADED201, ADED202 and 15 credits in the program.",UGRD,,Check academic program site,
000274,ADED,497,Integrative Internship II,3.00,LEC,Lecture,   Course Prerequisite: ADED496; Never Taken/Not Registered: ADED495,UGRD,,Check academic program site,
000277,ADED,498C,ADVANCED TOPICS IN ADULT EDUCATION,3.00,LEC,Lecture,,UGRD,,Check academic program site,
046447,ADED,489,SPEC TOPICS  IN ADULT EDUC,3.00,LEC,Lecture,,UGRD,,Check academic program site,
046448,ADED,492,SPECIAL TOPICS SEM IN ADED I,3.00,LEC,Lecture,,UGRD,,Check academic program site,
046449,ADED,494,SPECIAL TOPIC SEM IN ADED II,3.00,LEC,Lecture,,UGRD,,Check academic program site,
046450,ADED,498,ADVANCED TOPICS IN ADED,3.00,LEC,Lecture,,UGRD,,Check academic program site,
000316,ADIP,500,ADED-QUEBEC AS A FIELD STUDY,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000317,ADIP,501,PHIL ISSUES IN EDUC RESEARCH,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000318,ADIP,511,EDUC.PROB/PHILOSOPH.PERSPECT,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000319,ADIP,512,EDUC.PROB./HIST.PERSPECTIVE,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000320,ADIP,513,ANTH CONCEPTS & METHODS-EDUC,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000323,ADIP,520,ADULTS AS LEARNERS,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000325,ADIP,533,FACILITATING ADULT LEARNING,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000326,ADIP,540,INTRODUCTION TO RESEARCH,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000327,ADIP,541,DESIGNING ADULT LRN.PROJECTS,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000328,ADIP,542,EVAL ADULT LEARNING PROJECTS,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000329,ADIP,544,SCHOOL AND SOCIETY,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000333,ADIP,572,CONCEPTS & VALUES IN ADED,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000334,ADIP,580,READING COURSE,3.00,REA,Reading,,GRAD,,Check academic program site,
000335,ADIP,581,READING COURSE,3.00,REA,Reading,,GRAD,,Check academic program site,
000337,ADIP,590,ISSUES IN THE PRACTICE,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000345,ADIP,598,SPECIAL TOPICS IN ADED II,3.00,LEC,Lecture,,GRAD,,Check academic program site,
037543,ADIP,597,ADULT EDUCATION I-SELECTED TOPICS,3.00,LEC,Lecture,,GRAD,,Check academic program site,
040013,ADIP,535,STUDIES/EDUCATIONAL CHANGE,3.00,LEC,Lecture,,GRAD,,Check academic program site,
040014,ADIP,585,Integrative Internship I,3.00,LEC,Lecture,"Prerequisite: 15 credits in program of study, including ADIP 500.",GRAD,,Check academic program site,
040015,ADIP,586,Integrative Internship II,3.00,LEC,Lecture,Prerequisite: ADIP585,GRAD,,Check academic program site,
046451,ADIP,589,ADVANCED TOPICS IN ADED,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000360,ADMI,201,Introduction to Administration (Administered by the Finance Department),3.00,LEC,Lecture,,UGRD,,Check academic program site,
000361,ADMI,202,Perspective on Canadian Business (Administered by the Finance Department),3.00,LEC,Lecture,   Never Taken/Not Registered: MANA369,UGRD,,Check academic program site,
000384,ADMI,543,SPECIAL TOPICS-INSTIT ADMIN,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000409,ADMI,810,ORGANIZATIONAL BEHAVIOUR,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000428,ADMI,811,ORGANIZATIONAL BEHAVIOUR,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000448,ADMI,820,DESC & M.I.S.,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000505,ADMI,830,MARKETING,3.00,LEC,Lecture,,GRAD,,Check academic program site,
000522,ADMI,831,MARKETING,3.00,LEC,Lecture,,GRAD,,Check academic program site,
