"course","courseName","courseSubject","courseNumber","courseUrl","courseCredits","description"
"http://focu.io/data#SSOQ109","SHORT STUDIES OUTSIDE QUEBEC C","SSOQ","109",,"9.0","Check academic program site"
"http://focu.io/data#SSOQ609","SHORT STUDIES OUTSIDE QUEBEC F","SSOQ","609",,"9.0","Check academic program site"
"http://focu.io/data#STOQ1","STUDIES OUTSIDE QUEBEC A (GRAD)","STOQ","1",,"9.0","Check academic program site"
"http://focu.io/data#STOQ1","STUDIES OUTSIDE QUEBEC A (UGRD)","STOQ","1",,"9.0","Check academic program site"
"http://focu.io/data#THEO691","RESEARCH PAPER","THEO","691",,"9.0","Check academic program site"
"http://focu.io/data#THEO692","APPLIED PROJECT IN THEOLOGY","THEO","692",,"9.0","Practicum"
"http://focu.io/data#BIOL890","RESEARCH AND THESIS","BIOL","890",,"75.0","Check academic program site"
"http://focu.io/data#CEPD950","MONTREAL MUSEUM OF FINE ARTS - TRAINING FOR ASPIRING VOLUNTEER GUIDES","CEPD","950",,"72.0","Check academic program site"
"http://focu.io/data#CHEM856","DOCTORAL RESEARCH AND THESIS","CHEM","856",,"72.0","Check academic program site"
"http://focu.io/data#COMP890","DOCTORAL RESEARCH AND THESIS","COMP","890",,"72.0","Check academic program site"
"http://focu.io/data#ENGR891","DOCTORAL RESEARCH AND THESIS","ENGR","891",,"72.0","Check academic program site"
"http://focu.io/data#COMP8901","DOCTORAL RESEARCH AND THESIS","COMP","8901",,"70.0","Check academic program site"
"http://focu.io/data#ENGR8911","DOCTORAL RESEARCH AND THESIS","ENGR","8911","Contact faculty member directly to inquire about potential openings for a student working in the lab.","70.0","Research, thesis"
"http://focu.io/data#PHYS850","DOCTORAL RESEARCH & THESIS","PHYS","850",,"70.0","Check academic program site"
"http://focu.io/data#SOEN8901","DOCTORAL RESEARCH AND THESIS","SOEN","8901",,"70.0","Check academic program site"
"http://focu.io/data#GPLL20","Graduate School Base Camp","GPLL","20",,"7.25","Check academic program site"
"http://focu.io/data#CEPS1001E","Strategic Task Delegation","CEPS","1001E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1011E","Dealing with Difficult Personalities","CEPS","1011E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1011F","GÃ©rer les personnalitÃ©s difficiles","CEPS","1011F",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1012E","Stress Management for the 21st Century","CEPS","1012E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1026E","Business-Case Driven Decision-Making Workshop","CEPS","1026E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1027E","Recognition of Millenials in the workplace","CEPS","1027E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1029E","Maximize Your Influential Power","CEPS","1029E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1030E","Powerful and Synergistic Teamwork","CEPS","1030E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1031E","Creative Leadership","CEPS","1031E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1032E","Stimulate Emotional and Social Intelligence","CEPS","1032E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1037E","Best Practices in Environmental Management","CEPS","1037E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1081E","Improve your Time Management","CEPS","1081E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1084E","Design Thinking for Powerful Strategic Planning","CEPS","1084E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1085E","Understanding Google Analytics to Thrive","CEPS","1085E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1092E","Strategies for Effective Decision-Making","CEPS","1092E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1094E","Adapting your Business to be AI Ready","CEPS","1094E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1096E","Lean for Non-Manufacturing Processes","CEPS","1096E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1097E","DATA AND AI PROJECT MANAGEMENT","CEPS","1097E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1098E","INTRODUCTION TO SEO 2021","CEPS","1098E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1099E","INTRODUCTION TO SEM 2021","CEPS","1099E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1100E","PRESENTING LIKE A PRO","CEPS","1100E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1101E","TALENT MANAGEMENT & RETENTION : ENGAGING MILLENNIALS","CEPS","1101E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1102E","MAKING SENSE OF BLOCKCHAIN TECHNOLOGY","CEPS","1102E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1103E","SUCCESSFUL MANAGEMENT OF DIFFICULT SITUATIONS","CEPS","1103E",,"7.0","Check academic program site"
"http://focu.io/data#CEPS1104E","Leveraging The Power of Marketing Personas","CEPS","1104E",,"7.0","Check academic program site"
"http://focu.io/data#GPTK780","Learning to Teach Day at McGill","GPTK","780",,"7.0","Check academic program site"
"http://focu.io/data#CHEM855","DOCTORAL RESEARCH & THESIS","CHEM","855",,"69.0","Check academic program site"
"http://focu.io/data#PHYS890","DOCTORAL RSRCH AND THESIS","PHYS","890",,"69.0","Check academic program site"
"http://focu.io/data#JMEC829","Journey to Mastery","JMEC","829",,"67.5","Check academic program site"
"http://focu.io/data#HENV895","Research and Thesis","HENV","895",,"66.0","Check academic program site"
"http://focu.io/data#INDI890","DOCTORAL RESEARCH & THESIS","INDI","890",,"66.0","Check academic program site"
"http://focu.io/data#SPEC890","DOCTORAL THESIS","SPEC","890",,"66.0","Check academic program site"
"http://focu.io/data#ARTE890","THESIS","ARTE","890",,"63.0","Check academic program site"
"http://focu.io/data#ARTE890A","RESEARCH AND THESIS","ARTE","890A",,"63.0","Check academic program site"
"http://focu.io/data#COMS896","DOCTORAL THESIS RESEARCH","COMS","896",,"63.0","Check academic program site"
"http://focu.io/data#FMST890","RESEARCH AND THESIS","FMST","890",,"63.0","Check academic program site"
"http://focu.io/data#CEPD8002","Unit and Group Intervention","CEPD","8002",,"600.0","Check academic program site"
"http://focu.io/data#CEPD8003","Individual Youth Intervention","CEPD","8003",,"600.0","Check academic program site"
"http://focu.io/data#ADMI890","THESIS","ADMI","890",,"60.0","Check academic program site"
"http://focu.io/data#ARTH830","THESIS","ARTH","830",,"60.0","Check academic program site"
"http://focu.io/data#CEJV416","INTRO TO PROGRAMMING WITH JAVA","CEJV","416",,"60.0","Check academic program site"
"http://focu.io/data#COMS895B","DOCTORAL THESIS RESEARCH","COMS","895B",,"60.0","Check academic program site"
"http://focu.io/data#MAST892","THESIS","MAST","892",,"60.0","Check academic program site"
"http://focu.io/data#PSYC890","RESEARCH AND THESIS","PSYC","890",,"60.0","Check academic program site"
"http://focu.io/data#ACCO495","HONOURS SEMINAR IN ACCOUNTANCY","ACCO","495",,"6.0","Writing a teaching case and solution or conducting an applied research project"
"http://focu.io/data#ACCO685","CASE ANALY/INTEG/EXAM PREP","ACCO","685",,"6.0","Check academic program site"
"http://focu.io/data#ACTT299","Special Topics in Acting","ACTT","299",,"6.0","Check academic program site"
"http://focu.io/data#ACTT399","Special Topics in Acting","ACTT","399",,"6.0","Provides opportunities for studies in selected styles or modes of theatre performance"
"http://focu.io/data#ACTT499","Special Topics in Acting","ACTT","499",,"6.0","Provides opportunities for studies in selected styles or modes of theatre performance"
"http://focu.io/data#ACTU493","Honours Project in Actuarial Mathematics","ACTU","493",,"6.0","Check academic program site"
"http://focu.io/data#ADMI889","COMPREHENSIVE EXAMINATIONS","ADMI","889",,"6.0","Check academic program site"
"http://focu.io/data#AHSC330","Leadership and Facilitation in Small Groups","AHSC","330",,"6.0","Check academic program site"
"http://focu.io/data#AHSC399","SEL TOP: APP HUMAN SCIENCES","AHSC","399",,"6.0","Check academic program site"
"http://focu.io/data#AHSC436","Internship in Youth and Family Work","AHSC","436",,"6.0","Work with youth and families in such settings as child welfare, schools, non-profit organizations, residential care, or outreach"
"http://focu.io/data#AHSC437","INTERNSHIP IN LEISURE SCIENCES","AHSC","437",,"6.0","Opportunity to design, implement, and evaluate programs; to facilitate groups in a variety of settings; and to establish working relationships with field personnel"
"http://focu.io/data#AHSC439","Internship in Human Relations","AHSC","439",,"6.0","Opportunity to design, implement, and evaluate small group leadership in several settings, and to negotiate working relationships with site personnel"
"http://focu.io/data#AHSC451","COUNSELLING AND SKILLS AND CONCEPTS","AHSC","451",,"6.0","in-class simulations"
"http://focu.io/data#AHSC460","HEALTH PROMOTION","AHSC","460",,"6.0","Check academic program site"
"http://focu.io/data#AHSC499","ADVANCED TOPICS IN AHSC","AHSC","499",,"6.0","Check academic program site"
"http://focu.io/data#AHSC537","Internship II in Youth Work","AHSC","537",,"6.0","220-hour internship, supervised apprenticeship in either a clinical or normative youth work setting that builds on the studentÃ¢ÂÂs previous courses"
"http://focu.io/data#AHSC551","Counselling Skills and Concepts","AHSC","551",,"6.0","Check academic program site"
"http://focu.io/data#AHSC560","Health Promotion","AHSC","560",,"6.0","Check academic program site"
"http://focu.io/data#AHSC680","FACIL INDIV/GROUP LRNG PROC","AHSC","680",,"6.0","Laboratory setting"
"http://focu.io/data#AMPS599","SPEC. TOPICS IN MPER STUDIES","AMPS","599",,"6.0","Check academic program site"
"http://focu.io/data#ANDR400","SELECT TOPICS IN ANDRAGOGY","ANDR","400",,"6.0","Check academic program site"
"http://focu.io/data#ANDR500","SELECTED TOPICS IN ANDRAGOGY","ANDR","500",,"6.0","Check academic program site"
"http://focu.io/data#ANTH315","Field Research","ANTH","315",,"6.0","Field, practice"
"http://focu.io/data#ANTH399","SELECTED TOPICS/ANTHROPOLOGY","ANTH","399",,"6.0","Check academic program site"
"http://focu.io/data#ANTH432","THEORIES OF ETHNICITY","ANTH","432",,"6.0","Check academic program site"
"http://focu.io/data#ANTH494","NEW TOPICS IN ANTHROPOLOGY","ANTH","494",,"6.0","Check academic program site"
"http://focu.io/data#ANTH495","Honours Essay","ANTH","495",,"6.0","Check academic program site"
"http://focu.io/data#ANTH499","ADVANCED TOPICS/ANTHROPOLOGY","ANTH","499",,"6.0","Check academic program site"
"http://focu.io/data#ANTH691","FIELDWORK: STAGE","ANTH","691",,"6.0","Check academic program site"
"http://focu.io/data#ANTH694","Bibliographic Research","ANTH","694",,"6.0","Check academic program site"
"http://focu.io/data#APLI656","SPECIAL TOPICS IN APLI VI","APLI","656",,"6.0","Check academic program site"
"http://focu.io/data#APLI675","READING COURSE IN APLI V","APLI","675",,"6.0","Check academic program site"
"http://focu.io/data#APLI696","RESEARCH PAPER","APLI","696",,"6.0","Check academic program site"
"http://focu.io/data#APLI696B","RESEARCH PAPER","APLI","696B",,"6.0","Check academic program site"
"http://focu.io/data#APSS399","SELECTED TOPICS IN APSS","APSS","399",,"6.0","Check academic program site"
"http://focu.io/data#APSS499","ADVANCED TOPICS IN APSS","APSS","499",,"6.0","Check academic program site"
"http://focu.io/data#ART420","SPECIAL TOPICS IN STUDIO ART","ART","420",,"6.0","Check academic program site"
"http://focu.io/data#ART480","SPEC TOPICS IN STUDIO ARTS","ART","480",,"6.0","Check academic program site"
"http://focu.io/data#ARTH200","Perspectives of Art History","ARTH","200",,"6.0","Check academic program site"
"http://focu.io/data#ARTH415","TOPICS IN ARCHAEOLOGY","ARTH","415",,"6.0","Check academic program site"
"http://focu.io/data#ARTH662","SEM-20TH CENT CANADIAN ART","ARTH","662",,"6.0","Check academic program site"
"http://focu.io/data#ARTH800","ARTH AND ITS METHODOLOGIES","ARTH","800",,"6.0","Check academic program site"
"http://focu.io/data#ARTH820","ATELIER DE RECHERCHE","ARTH","820",,"6.0","Check academic program site"
"http://focu.io/data#ARTT399","TOPICS/STUDIO:IDEAS & ISSUES","ARTT","399",,"6.0","Check academic program site"
"http://focu.io/data#ARTT470","Professional Internship","ARTT","470",,"6.0","Students wishing to work in an internship capacity within an artistic/cultural environment may apply for academic credit."
"http://focu.io/data#ARTX280","Integrated Studio in Contemporary Art Practices I","ARTX","280",,"6.0","Studio course"
"http://focu.io/data#ARTX380","Intermediate Integrated Studio in Contemporary Art Practices","ARTX","380",,"6.0","Studio course"
"http://focu.io/data#ARTX399","SPEC.TOPICS CONT.STUDIO PRAC","ARTX","399",,"6.0","Studio course"
"http://focu.io/data#ARTX480","Advanced Integrated Studio in Contemporary Art Practices","ARTX","480",,"6.0","Studio course"
"http://focu.io/data#ARTX490","Independent Study","ARTX","490",,"6.0","This course provides a limited number of students the opportunity to pursue advanced studies in a specific interdisciplinary project under the supervision of a fullÃ¢ÂÂtime ARTX faculty member."
"http://focu.io/data#BIOL490","Independent Study","BIOL","490",,"6.0","Research project"
"http://focu.io/data#BIOL516","PROJ IN BIOTECH & GENOMICS","BIOL","516",,"6.0","Research project"
"http://focu.io/data#BIOL850","RESRCH PROPOSAL & QUAL EXAM","BIOL","850",,"6.0","Check academic program site"
"http://focu.io/data#CART499","Special Topics in Computation Arts","CART","499",,"6.0","Check academic program site"
"http://focu.io/data#CATA365","Athletic Therapy Field Internship I","CATA","365",,"6.0","Internship"
"http://focu.io/data#CATA475","Athletic Therapy Clinical Internship I","CATA","475",,"6.0","Internship"
"http://focu.io/data#CATS698","APPL.RESEARCH PROJ/REPORT","CATS","698",,"6.0","Check academic program site"
"http://focu.io/data#CDNS299","SELECTED TOPICS IN CDNS","CDNS","299",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1024E","Building your Coaching and Mentoring Skills","CEPS","1024E",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1024EO","Building your Coaching and Mentoring Skills (Online)","CEPS","1024EO",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1029EO","Maximize Your Influential Power (Online)","CEPS","1029EO",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1032EO","Stimulate Emotional and Social Intelligence (Online)","CEPS","1032EO",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1038EO","Building Resilience (Online)","CEPS","1038EO",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1081EO","Improve your time management (Online)","CEPS","1081EO",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1123EO","Maximize Your Social Media Strategies (Online)","CEPS","1123EO",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1128EO","Agile Marketing Training (Online)","CEPS","1128EO",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1400EO","UX Fundamentals and the Science of User Experience","CEPS","1400EO",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1401EO","Understanding Digital and Web Analytics to thrive","CEPS","1401EO",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1402EO","Optimize your online performance with A-B Testing and Multi-Variables","CEPS","1402EO",,"6.0","Check academic program site"
"http://focu.io/data#CEPS1500EO","A Hands-On Dive into Cyber Resilience","CEPS","1500EO",,"6.0","Check academic program site"
"http://focu.io/data#CERA230","Ceramics I","CERA","230",,"6.0","An introduction to clay as an art medium employing the various techniques of forming, shaping, and decorating for firing and glazing."
"http://focu.io/data#CERA330","Ceramics II","CERA","330",,"6.0","An advanced course in technical and historical research in various ceramic processes with an emphasis on glazes and the use of different clay bodies."
"http://focu.io/data#CERA399","SPECIAL TOPICS IN CERAMICS","CERA","399",,"6.0","A workshop/seminar course providing an opportunity for the study of specialized aspects in ceramics."
"http://focu.io/data#CERA430","Ceramics III","CERA","430",,"6.0","The development of a body of personal work and a refinement of specific problems in clay."
"http://focu.io/data#CERA450","Independent Study","CERA","450",,"6.0","This course provides a limited number of students the opportunity to pursue advanced studies in ceramics under the supervision of a fullÃ¢ÂÂtime ceramics faculty member."
"http://focu.io/data#CERA499","SPECIAL TOPICS IN CERAMICS","CERA","499",,"6.0","An advanced studio course which provides an opportunity for the study of more specialized aspects of ceramics."
"http://focu.io/data#CHEM419","Independent Study and Practicum","CHEM","419",,"6.0","Practicum"
"http://focu.io/data#CHEM450","Research Project and Thesis","CHEM","450",,"6.0",
"http://focu.io/data#CHST607","METHODS OF INQUIRY","CHST","607",,"6.0","Check academic program site"
"http://focu.io/data#CLAS280","INTRODUCTORY ANCIENT GREEK: INTENSIVE COURSE","CLAS","280",,"6.0","Check academic program site"
"http://focu.io/data#CLAS290","INTRODUCTORY LATIN: INTENSIVE COURSE","CLAS","290",,"6.0","Check academic program site"
"http://focu.io/data#CLAS371","SELECT TOPICS IN CLASSICS","CLAS","371",,"6.0","Check academic program site"
"http://focu.io/data#COMS374","Communication Media: Intermedia II","COMS","374",,"6.0","Practicum course"
"http://focu.io/data#COMS376","Communication Media: Sound II","COMS","376",,"6.0","Practicum course"
"http://focu.io/data#COMS383","Communication Media: Film II","COMS","383",,"6.0","Check academic program site"
"http://focu.io/data#COMS384","Communication Media:  Moving Images II","COMS","384",,"6.0","Practicum course"
"http://focu.io/data#COMS385","Communication Media: Video II","COMS","385",,"6.0","Check academic program site"
"http://focu.io/data#COMS399","SELECTED TOPICS IN COMS","COMS","399",,"6.0","Check academic program site"
"http://focu.io/data#COMS474","Communication Media: Intermedia III","COMS","474",,"6.0","Check academic program site"
"http://focu.io/data#COMS476","Communication Media: Sound III","COMS","476",,"6.0","Check academic program site"
"http://focu.io/data#COMS483","Communication Media: Film III","COMS","483",,"6.0","Check academic program site"
"http://focu.io/data#COMS485","Communication Media: Video III","COMS","485",,"6.0","Check academic program site"
"http://focu.io/data#COMS499","ADVANCED TOPICS IN COMS","COMS","499",,"6.0","Check academic program site"
"http://focu.io/data#COMS830","DOCTORAL PRO-SEMINAR","COMS","830",,"6.0","Check academic program site"
"http://focu.io/data#COMS830A","DOCTORAL PRO-SEMINAR","COMS","830A",,"6.0","Check academic program site"
"http://focu.io/data#COMS830B","DOCTORAL PRO-SEMINAR","COMS","830B",,"6.0","Check academic program site"
"http://focu.io/data#COMS890","THESIS PROPOSAL","COMS","890",,"6.0","Check academic program site"
"http://focu.io/data#DANC201","Creative Process I","DANC","201",,"6.0","Students learn to explore, observe, and structure ideas and movements through improvisations and specific exercises which cover such fundamentals as kinetics, rhythm and dynamics, spatial organization, perceptual skills, integration of acoustic, visual and verbal elements, and the use of technology as a creative tool."
"http://focu.io/data#DANC205","Technique I","DANC","205",,"6.0","Emphasis is placed on the proper alignment and placement of the body in stillness and in motion. Integration and execution of movement fundamentals and sequences are taught as a preparation for dance."
"http://focu.io/data#DANC301","Creative Process II","DANC","301",,"6.0","Students further develop the practical and theoretical aspects of the creative process in dance and the elaboration of an individualized kinetic language. Methods of research and their application to concepts, themes, collaborations, projects, and the use of technology are evolved in studio and laboratories."
"http://focu.io/data#DANC305","Technique II","DANC","305",,"6.0","Emphasis is placed on the technical development of suppleness, strength, coordination, rhythm, and kinetic fundamentals."
"http://focu.io/data#DANC320","Choreography I","DANC","320",,"6.0","This course develops personal creativity and broadens the studentÃ¢ÂÂs physical and expressive potential into public performances."
"http://focu.io/data#DANC401","Creative Process III","DANC","401",,"6.0","This course enables students to advance their creative process and practice as movement artists through kinetic exploration, improvisation, performance coaching, extended studio projects, and lab reports."
"http://focu.io/data#DANC405","Technique III","DANC","405",,"6.0","Emphasis is placed on refining and consolidating the studentÃ¢ÂÂs practical understanding of kinetics in relation to placement, locomotion, movement patterns, dynamics, and phrasing."
"http://focu.io/data#DANC420","Choreography II","DANC","420",,"6.0","Building on initial research carried out in DANC 320, further exploration is conducted into the use of technology within the choreographic process as well as an examination of the role that it plays in all aspects of production."
"http://focu.io/data#DANC450","TOPICS IN DANCE","DANC","450",,"6.0","Check academic program site"
"http://focu.io/data#DANC499","TOPICS IN DANCE","DANC","499",,"6.0","Check academic program site"
"http://focu.io/data#DART452","DESIGN & COMMUN. ENGAGEMENT","DART","452",,"6.0","Check academic program site"
"http://focu.io/data#DART453","DESIGN & COMMUN. ENGAGEMENT","DART","453",,"6.0","Check academic program site"
"http://focu.io/data#DART499","Special Topics in Design","DART","499",,"6.0","Check academic program site"
"http://focu.io/data#DART500","INDIVIDUAL RESEARCH PROJECT","DART","500",,"6.0","Check academic program site"
"http://focu.io/data#DESI410","MAJOR PROJECT","DESI","410",,"6.0","Check academic program site"
"http://focu.io/data#DFTT350","Introduction to Public Performance Design","DFTT","350",,"6.0","Students learn to collaborate with directors, other designers, and technical staff to creatively realize set, costume, lighting, properties, video, and sound designs for live performance."
"http://focu.io/data#DFTT370","Introduction to Elements of Production","DFTT","370",,"6.0","Students are introduced to the language, tools, and techniques used in rehearsal halls, shops, and backstage."
"http://focu.io/data#DFTT450","Advanced Public Performance Design","DFTT","450",,"6.0","Students collaborate with directors, other designers, and technical staff"
"http://focu.io/data#DFTT470","Advanced Elements of Production","DFTT","470",,"6.0","Students study advanced theories and practices of stage management, production management, and technical direction."
"http://focu.io/data#DRAW200","Drawing I","DRAW","200",,"6.0","Check academic program site"
"http://focu.io/data#DRAW300","Drawing II","DRAW","300",,"6.0","Check academic program site"
"http://focu.io/data#DRAW310","NARRATION, TIME, STORIES I","DRAW","310",,"6.0","Check academic program site"
"http://focu.io/data#DRAW312","DRAWING AND KNOWLEDGE I","DRAW","312",,"6.0","Check academic program site"
"http://focu.io/data#DRAW314","LIFE IN THE ROUND: DRAWING THE FIGURE FROM OBSERVATION I","DRAW","314",,"6.0","Check academic program site"
"http://focu.io/data#DRAW399","SPECIAL TOPICS IN DRAWING","DRAW","399",,"6.0","Check academic program site"
"http://focu.io/data#DRAW400","Drawing III","DRAW","400",,"6.0","Check academic program site"
"http://focu.io/data#DRAW410","NARRATION, TIME, STORIES II","DRAW","410",,"6.0","Check academic program site"
"http://focu.io/data#DRAW412","DRAWING AND KNOWLEDGE II","DRAW","412",,"6.0","Check academic program site"
"http://focu.io/data#DRAW414","LIFE IN THE ROUND: DRAWING THE FIGURE FROM OBSERVATION II","DRAW","414",,"6.0","Check academic program site"
"http://focu.io/data#DRAW450","Advanced Studio in Drawing","DRAW","450",,"6.0","Check academic program site"
"http://focu.io/data#DRAW470","Independent Study","DRAW","470",,"6.0","Check academic program site"
"http://focu.io/data#DRAW499","SPECIAL TOPICS IN DRAWING","DRAW","499",,"6.0","Check academic program site"
"http://focu.io/data#EAMT399","TOPICS IN ELECTROACOUSTICS","EAMT","399",,"6.0","Check academic program site"
"http://focu.io/data#EART399","SPECIAL TOPICS IN EART","EART","399",,"6.0","Check academic program site"
"http://focu.io/data#EAST200","ASA and Aural Skills I","EAST","200",,"6.0","Check academic program site"
"http://focu.io/data#EAST205","Electroacoustics I","EAST","205",,"6.0","Check academic program site"
"http://focu.io/data#EAST300","ASA and Aural Skills II","EAST","300",,"6.0","Check academic program site"
"http://focu.io/data#EAST305","Electroacoustics II","EAST","305",,"6.0","Check academic program site"
"http://focu.io/data#EAST310","Theory/MIDIstration II","EAST","310",,"6.0","Check academic program site"
"http://focu.io/data#EAST331","Sound Art Practices","EAST","331",,"6.0","Check academic program site"
"http://focu.io/data#EAST399","Topics in Electroacoustics","EAST","399",,"6.0","Check academic program site"
"http://focu.io/data#EAST499","Topics in Electroacoustics","EAST","499",,"6.0","Check academic program site"
"http://focu.io/data#ECON805","DOCTORAL COMPREHENSIVE EXAM","ECON","805",,"6.0","Check academic program site"
"http://focu.io/data#ECON806","DOCTORAL RESEARCH SEMINAR","ECON","806",,"6.0","Experience-based seminar for PhD students in first and second year. Activities focus on academic and professional practice for economists, with emphasis on the job market. "
"http://focu.io/data#EDUC210","Psychology of Education","EDUC","210",,"6.0","Check academic program site"
"http://focu.io/data#EDUC802","INT. QUAN. & QUAL. METHODS","EDUC","802",,"6.0","Check academic program site"
"http://focu.io/data#EDUC890","COMPREHENSIVE EXAMINATION","EDUC","890",,"6.0","Check academic program site"
"http://focu.io/data#EDUC891","DOCTORAL PROPOSAL","EDUC","891",,"6.0","Check academic program site"
"http://focu.io/data#ENCS6044","PRACTICUM IN INNOVATION PROCESS","ENCS","6044",,"6.0","Fully integrated practicum project"
"http://focu.io/data#ENCS8511","DOCTORAL RESEARCH PROPOSAL","ENCS","8511","Contact faculty member directly to inquire about potential openings for a student working in the lab.","6.0","Doctoral research proposal"
"http://focu.io/data#ENGL225","Introductory Creative Writing:  Poetry","ENGL","225",,"6.0","Writing workshop (peer critique, revision, ongoing development)"
"http://focu.io/data#ENGL226","Introductory Creative Writing:  Prose Fiction","ENGL","226",,"6.0","Writing workshop (peer critique, revision, ongoing development)"
"http://focu.io/data#ENGL227","Introductory Creative Writing:  Playwriting","ENGL","227",,"6.0","Writing workshop (peer critique, revision, ongoing development)"
"http://focu.io/data#ENGL299","SELECTED TOPICS IN ENGLISH","ENGL","299",,"6.0","Check academic program site"
"http://focu.io/data#ENGL304","Chaucer","ENGL","304",,"6.0","Check academic program site"
"http://focu.io/data#ENGL320","Shakespeare","ENGL","320",,"6.0","Check academic program site"
"http://focu.io/data#ENGL324","The 18th- and 19th-Century Novel","ENGL","324",,"6.0","Check academic program site"
"http://focu.io/data#ENGL329","Literature of the Romantic Period","ENGL","329",,"6.0","Check academic program site"
